# Conference Summary (227 total: 130 upcoming, 0 ongoing, 97 ended)
# Generated: 2026-09-07
# Format: id | name | start~end | region | status | categories

aaai-apac-2026 | AAAI 2026 (40th AAAI Conference on Artificial Intelligence) | 2026-01-20~2026-01-27 | Asia-Pacific | ended | AI / 機械学習
edbt-icdt-eu-2027 | EDBT/ICDT 2027 Joint Conference | 2027-04-06~2027-04-09 | Europe | upcoming | データエンジニアリング, データプラットフォーム
cio-transformation-assembly-atlanta-north-america-2027 | Digital Enterprise CIO Transformation Assembly – April 2027 (Atlanta) | 2027-04-06~2027-04-07 | North America | upcoming | ビジネス / DX
japan-dx-week-spring-jp-2027 | Japan DX Week 春 2027 (Japan IT Week / DX Week Spring) | 2027-04-07~2027-04-09 | Japan | upcoming | ビジネス / DX
google-cloud-next-north-america-2027 | Google Cloud Next 2027 | 2027-04-13~2027-04-15 | North America | upcoming | AI / 機械学習, データインテリジェンス
qcon-london-eu-2027 | QCon London 2027 | 2027-04-13~2027-04-15 | Europe | upcoming | クラウド / インフラ, データエンジニアリング
nextech-week-spring-jp-2027 | NexTech Week 2027 春 | 2027-04-21~2027-04-23 | Japan | upcoming | ビジネス / DX
aim-orlando-north-america-2027 | AIM 2027 (4th International Conference on Artificial Intelligence and Machine Learning) | 2027-04-26~2027-04-28 | North America | upcoming | AI / 機械学習
iclr-north-america-2027 | ICLR 2027 (15th International Conference on Learning Representations) | 2027-04-26~2027-04-30 | North America | upcoming | AI / 機械学習
money2020-asia-apac-2027 | Money20/20 Asia 2027 | 2027-04-27~2027-04-29 | Asia-Pacific | upcoming | ビジネス / DX
aamas-apac-2027 | AAMAS 2027 (26th International Conference on Autonomous Agents and Multiagent Systems) | 2027-05-03~2027-05-07 | Asia-Pacific | upcoming | AI / 機械学習
coling-apac-2027 | COLING 2027 (32nd International Conference on Computational Linguistics) | 2027-05-09~2027-05-14 | Asia-Pacific | upcoming | AI / 機械学習
www-eu-2027 | ACM Web Conference 2027 (WWW 2027) | 2027-05-10~2027-05-14 | Europe | upcoming | AI / 機械学習, データインテリジェンス
odsc-east-north-america-2027 | ODSC AI East 2027 | 2027-05-10~2027-05-12 | North America | upcoming | AI / 機械学習, データインテリジェンス
gartner-da-summit-london-eu-2027 | Gartner Data & Analytics Summit London 2027 (EMEA) | 2027-05-10~2027-05-12 | Europe | upcoming | データインテリジェンス, データプラットフォーム, ビジネス / DX
data-summit-north-america-2027 | Data Summit 2027 | 2027-05-12~2027-05-13 | North America | upcoming | データインテリジェンス, AI / 機械学習
icde-eu-2027 | ICDE 2027 (43rd IEEE International Conference on Data Engineering) | 2027-05-17~2027-05-21 | Europe | upcoming | データインテリジェンス
open-source-summit-north-america-2027 | Open Source Summit North America 2027 | 2027-05-17~2027-05-19 | North America | upcoming | クラウド / インフラ, データエンジニアリング
gartner-cio-lf-sydney-apac-2027 | Gartner CIO Leadership Forum 2027 Sydney | 2027-05-17~2027-05-18 | Asia-Pacific | upcoming | ビジネス / DX
gartner-data-analytics-summit-tokyo-jp-2027 | Gartner Data & Analytics Summit Tokyo 2027 | 2027-05-18~2027-05-20 | Japan | upcoming | データインテリジェンス, AI / 機械学習
data-innovation-summit-eu-2027 | Data Innovation Summit 2027 (Nordics) | 2027-05-18~2027-05-20 | Europe | upcoming | データインテリジェンス, AI / 機械学習
cloud-ai-infrastructure-frankfurt-eu-2027 | Cloud & AI Infrastructure Frankfurt 2027 | 2027-05-19~2027-05-20 | Europe | upcoming | クラウド / インフラ, AI / 機械学習
red-hat-summit-north-america-2027 | Red Hat Summit 2027 | 2027-05-25~2027-05-27 | North America | upcoming | クラウド / インフラ
iapp-canada-symposium-north-america-2027 | IAPP Canada Symposium 2027 | 2027-05-25~2027-05-28 | North America | upcoming | PETs, ビジネス / DX
naacl-north-america-2027 | NAACL 2027 (Annual Conference of the Nations of the Americas Chapter of the ACL) | 2027-06-01~2027-06-05 | North America | upcoming | AI / 機械学習
cisco-live-us-north-america-2027 | Cisco Live US 2027 | 2027-06-06~2027-06-10 | North America | upcoming | クラウド / インフラ
gartner-da-summit-sydney-apac-2027 | Gartner Data & Analytics Summit Sydney 2027 | 2027-06-07~2027-06-08 | Asia-Pacific | upcoming | データインテリジェンス, AI / 機械学習
snowflake-summit-north-america-2027 | Snowflake Summit 2027 | 2027-06-07~2027-06-10 | North America | upcoming | データプラットフォーム, データインテリジェンス, AI / 機械学習
infosecurity-europe-eu-2027 | Infosecurity Europe 2027 | 2027-06-08~2027-06-10 | Europe | upcoming | クラウド / インフラ
money2020-europe-eu-2027 | Money20/20 Europe 2027 | 2027-06-08~2027-06-10 | Europe | upcoming | ビジネス / DX
sigmod-pods-north-america-2027 | SIGMOD/PODS 2027 (ACM Conference on Management of Data) | 2027-06-13~2027-06-19 | North America | upcoming | データインテリジェンス, データエンジニアリング, データプラットフォーム
ai-big-data-expo-north-america-2027 | AI & Big Data Expo North America 2027 | 2027-06-16~2027-06-17 | North America | upcoming | データプラットフォーム, データエンジニアリング
digital-transformation-week-north-america-2027 | Digital Transformation Expo North America 2027 | 2027-06-16~2027-06-17 | North America | upcoming | ビジネス / DX, クラウド / インフラ
cvpr-north-america-2027 | CVPR 2027 (IEEE/CVF Conference on Computer Vision and Pattern Recognition) | 2027-06-20~2027-06-24 | North America | upcoming | AI / 機械学習
databricks-data-ai-summit-north-america-2027 | Data + AI Summit 2027 (Databricks) | 2027-06-21~2027-06-24 | North America | upcoming | データプラットフォーム, データエンジニアリング, AI / 機械学習
platformcon-live-day-london-eu-2027 | PlatformCon 2027 Live Day London | 2027-06-22~2027-06-22 | Europe | upcoming | クラウド / インフラ
platformcon-live-day-nyc-north-america-2027 | PlatformCon 2027 Live Day New York | 2027-06-24~2027-06-24 | North America | upcoming | クラウド / インフラ
gartner-cio-lf-tokyo-jp-2027 | Gartner CIO Leadership Forum 2027 Tokyo | 2027-07-07~2027-07-08 | Japan | upcoming | ビジネス / DX
sre-next-jp-2027 | SRE NEXT 2027 | 2027-07-09~2027-07-10 | Japan | upcoming | クラウド / インフラ
asiaccs-apac-2027 | ACM AsiaCCS 2027 (22nd ACM Asia Conference on Computer and Communications Security) | 2027-07-12~2027-07-16 | Asia-Pacific | upcoming | PETs
privacy-enhancing-technologies-symposium-eu-2027 | PETS 2027 (27th Privacy Enhancing Technologies Symposium) | 2027-07-19~2027-07-24 | Europe | upcoming | PETs
usenix-security-north-america-2027 | USENIX Security Symposium 2027 (36th) | 2027-08-11~2027-08-13 | North America | upcoming | PETs
acl-jp-2027 | ACL 2027 (65th Annual Meeting of the Association for Computational Linguistics) | 2027-08-17~2027-08-22 | Japan | upcoming | AI / 機械学習
vldb-eu-2027 | VLDB 2027 (53rd International Conference on Very Large Data Bases) | 2027-08-23~2027-08-27 | Europe | upcoming | データエンジニアリング, データプラットフォーム
iapp-psr-aigg-north-america-2027 | IAPP Privacy. Security. Risk. + AI Governance Global 2027 | 2027-09-14~2027-09-17 | North America | upcoming | PETs, ビジネス / DX
open-source-summit-europe-eu-2027 | Open Source Summit Europe 2027 | 2027-09-20~2027-09-22 | Europe | upcoming | クラウド / インフラ, データエンジニアリング
iccv-apac-2027 | ICCV 2027 (IEEE/CVF International Conference on Computer Vision) | 2027-10-02~2027-10-08 | Asia-Pacific | upcoming | AI / 機械学習
money2020-usa-north-america-2027 | Money20/20 USA 2027 | 2027-10-19~2027-10-21 | North America | upcoming | ビジネス / DX
kubecon-cloudnativecon-north-america-north-america-2027 | KubeCon + CloudNativeCon North America 2027 | 2027-11-08~2027-11-11 | North America | upcoming | クラウド / インフラ
gartner-it-symposium-barcelona-eu-2027 | Gartner IT Symposium/Xpo 2027 Barcelona (EMEA) | 2027-11-08~2027-11-11 | Europe | upcoming | ビジネス / DX
